srn,manufacturer,mandateType,manufacturer_country,mandate_holder_chrn,mandate_holder_name,mandate_holder_uid
AR-MF-000019201,PAMPAMED S.R.L.,MF,AR,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
AR-MF-000023348,Promedon S.A.,MF,AR,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
AR-MF-000029448,NUXEN SRL [ES],MF,AR,CHRN-AR-20000994,PX Dental S.A.,CHE109393918
AR-MF-000047833,Terragene S.A.,MF,AR,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000000252,Amann Girrbach AG,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000000275,iSYS Medizintechnik GmbH,MF,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000000281,Sonotechnik Austria,MF,AT,CHRN-AR-20010054,Auriga medica GmbH,CHE367479838
AT-MF-000000282,MoNo chem-pharm Produkte GmbH,MF,AT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AT-MF-000000426,Leonhard Lang GmbH,MF,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000000433,AURIMOD GmbH,MF,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000001001,decide Clinical Software GmbH,MF,AT,CHRN-AR-20002028,toedtli-consulting (Inhaber Jost Tödtli),CHE272085019
AT-MF-000001284,Michael Pachleitner Group GmbH,MF,AT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
AT-MF-000001435,APrevent Biotech GmbH,MF,AT,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
AT-MF-000001462,G & Z Instrumente GmbH,MF,AT,CHRN-AR-20003295,Swiss Precision Instruments AG,CHE109488826
AT-MF-000001501,Ingenetix GmbH,MF,AT,CHRN-AR-20003213,Labgene Scientific SA,CHE114160917
AT-MF-000001504,CARL REINER GmbH,MF,AT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AT-MF-000001590,W&H Dentalwerk Bürmoos GmbH,MF,AT,CHRN-AR-20002214,W & H CH AG,CHE110577715
AT-MF-000001620,MONTAVIT (Pharmazeutische Fabrik),MF,AT,CHRN-AR-20001254,PURE Medical Device SA,CHE410104057
AT-MF-000001773,contextflow GmbH,MF,AT,CHRN-AR-20001690,Freyr Life Sciences GmbH,CHE339468048
AT-MF-000001788,HeaRT Regeneration Technologies GmbH,MF,AT,CHRN-AR-20003054,ELLECOM SWISS AG,CHE248667988
AT-MF-000001791,EVER Neuro Pharma GmbH,MF,AT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AT-MF-000001918,IT-V Medizintechnik GmbH,MF,AT,CHRN-AR-20003113,"Elekta GmbH, Innsbruck, Zweigniederlassung Zug",CHE105192522
AT-MF-000001999,KLEMA Dentalprodukte GmbH,MF,AT,CHRN-AR-20000313,GC Europe AG,CHE459359888
AT-MF-000002398, AIT Austrian Institute of Technology GmbH,MF,AT,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
AT-MF-000002598,REPULS Lichtmedizintechnik GmbH,MF,AT,CHRN-AR-20003614,Sipsongpanna Holding AG,CHE329610178
AT-MF-000002648,medPhoton GmbH,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000002664,surgebright GmbH,MF,AT,CHRN-AR-20002728,Neutromedics AG,CHE107527361
AT-MF-000002920,Otto Bock Healthcare Products GmbH,MF,AT,CHRN-AR-20002002,Otto Bock (Schweiz) AG,CHE108678554
AT-MF-000004425,SCHUHFRIED GmbH,MF,AT,CHRN-AR-20002560,Orthotec AG,CHE107604530
AT-MF-000004590,KLAXON MOBILITY GmbH,MF,AT,CHRN-AR-20002002,Otto Bock (Schweiz) AG,CHE108678554
AT-MF-000005093,Georg Krämer GmbH & CO KG,MF,AT,CHRN-AR-20010239,Sodimed SA,CHE135544560
AT-MF-000005383,Saphenus Medical Technology GmbH,MF,AT,CHRN-AR-20003054,ELLECOM SWISS AG,CHE248667988
AT-MF-000007166,ImplanTec GmbH,MF,AT,CHRN-AR-20003310,AMR Advanced Medical Research GmbH,CHE257905141
AT-MF-000009932,RetInSight GmbH ,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000010366,Biegler GmbH,MF,AT,CHRN-AR-20001922,Theramed AG Therapie- und Medizintechnik,CHE103629850
AT-MF-000011048,Gynial GmbH,MF,AT,CHRN-AR-20010383,Gynial AG,CHE305786303
AT-MF-000011199,Medaia GmbH,MF,AT,CHRN-AR-20000950,CMC Medical Devices GmbH,CHE484802757
AT-MF-000013008,GENSPEED Biotech GmbH,MF,AT,CHRN-AR-20003612,DiaLine AG,CHE107641815
AT-MF-000013284,CROMA-PHARMA GmbH,MF,AT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
AT-MF-000014114,Heltschl GmbH,MF,AT,CHRN-AR-20002387,Ardo medical AG,CHE105998962
AT-MF-000014438,METASYS Medizintechnik GmbH,MF,AT,CHRN-AR-20001948,Arnold Bott AG,CHE100127380
AT-MF-000016168,Tyromotion GmbH,MF,AT,CHRN-AR-20000950,CMC Medical Devices GmbH,CHE484802757
AT-MF-000016426,Profümed GmbH,MF,AT,CHRN-AR-20000719,B. Braun Medical AG,CHE106032803
AT-MF-000016792,A.M.I. Agency for Medical Innovations GmbH,MF,AT,CHRN-AR-20000571,Fumedica AG,CHE103747478
AT-MF-000018341,MSP Medizintechnik GmbH,MF,AT,CHRN-AR-20003070,TapMed Swiss AG,CHE315124552
AT-MF-000020243,MED-EL Elektromedizinische Geräte GmbH,MF,AT,CHRN-AR-20001383,MED-EL Schweiz GmbH,CHE343555495
AT-MF-000020244,CMD GmbH,MF,AT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
AT-MF-000020785,Safersonic Medizinprodukte Handelsges.m.b.H,MF,AT,CHRN-AR-20001258,Ermed AG,CHE106661488
AT-MF-000020789,Biolux Technology GmbH,MF,AT,CHRN-AR-20001690,Freyr Life Sciences GmbH,CHE339468048
AT-MF-000020940,24sens GmbH,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000022520,Medizintechnik Behounek GmbH,MF,AT,CHRN-AR-20003103,TCMlaser Dörflinger,CHE489107452
AT-MF-000024050,EXIAS Medical GmbH,MF,AT,CHRN-AR-20003172,Axon Lab AG,CHE106066788
AT-MF-000024608,Greiner Bio One,MF,AT,CHRN-AR-20001176,Greiner Bio-One VACUETTE Schweiz GmbH,CHE100924844
AT-MF-000026233,POMBERGER Goisern GmbH,MF,AT,CHRN-AR-20002544,Deco Fashion Optic AG,CHE106791168
AT-MF-000026484,Natur Vital Handels GmbH,MF,AT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
AT-MF-000028352,SK-X optical solutions GmbH,MF,AT,CHRN-AR-20002414,Alpenglühn Handels GmbH,CHE102269200
AT-MF-000029636,Andy Wolf Fashion GmbH,MF,AT,CHRN-AR-20000387,Visall Suisse AG,CHE107671213
AT-MF-000030541,MacroArray Diagnostics GmbH,MF,AT,CHRN-AR-20003375,Ruwag Handels AG,CHE103871316
AT-MF-000033119,rolf.produktions GmbH,MF,AT,CHRN-AR-20002134,Conil AG,CHE108169703
